id,created_at,product_id,product_name,product_sku,_quantity_on_hand,unit_cost,shelf_location,notes,entrada,salida,detalle
445855,2025-11-04 16:57:23,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,43,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085185
445571,2025-11-03 19:52:04,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,44,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331092
445173,2025-11-02 13:53:57,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,45,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000331013
445003,2025-11-01 21:49:34,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,46,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085075
444986,2025-11-01 21:07:42,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,47,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330975
444960,2025-11-01 20:09:18,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,49,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330968
444912,2025-11-01 19:10:50,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,50,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330958
444909,2025-11-01 19:09:01,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,51,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330957
444887,2025-11-01 18:29:50,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,52,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330952
444811,2025-11-01 16:40:15,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,53,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085051
444754,2025-11-01 15:04:16,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,54,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000085039
444739,2025-11-01 14:39:32,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,55,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330927
444464,2025-10-31 17:15:01,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,56,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330884
444140,2025-10-30 19:07:50,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,57,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330837
444137,2025-10-30 19:02:09,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,58,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084938
443872,2025-10-30 12:09:30,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,59,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330799
443834,2025-10-30 11:35:02,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,60,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084916
443778,2025-10-29 19:19:15,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,61,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330786
443564,2025-10-29 13:35:23,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,62,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330755
443309,2025-10-28 16:04:26,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,63,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330722
443205,2025-10-28 11:47:26,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,64,0.45,LOCAL PRINCIPAL,"S/N
",0,12,"LOCAL 5
"
442939,2025-10-26 17:06:27,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,76,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330658
442834,2025-10-26 13:37:39,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,77,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330638
442815,2025-10-26 12:52:51,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,79,0.45,LOCAL PRINCIPAL,"S/N
",0,2,NotaVenta doc. 001-050-000084772
442803,2025-10-26 12:27:01,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,81,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330631
442773,2025-10-26 12:02:55,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,82,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330627
442650,2025-10-26 10:29:37,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,83,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084750
442588,2025-10-25 20:43:01,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,84,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084738
442583,2025-10-25 20:42:46,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,85,0.45,LOCAL PRINCIPAL,"S/N
",0,2,NotaVenta doc. 001-050-000084737
442579,2025-10-25 20:42:27,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,87,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330603
442575,2025-10-25 20:34:57,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,88,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330602
442420,2025-10-25 16:58:57,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,90,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084715
442394,2025-10-25 16:06:06,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,91,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330566
442360,2025-10-25 15:44:43,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,92,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084704
442356,2025-10-25 15:42:27,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,93,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330558
442316,2025-10-25 14:54:16,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,94,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330549
442307,2025-10-25 14:46:59,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,95,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330547
442262,2025-10-25 12:23:58,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,96,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084680
442236,2025-10-25 11:59:06,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,97,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330538
442194,2025-10-25 10:16:59,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,99,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330528
442171,2025-10-25 09:39:07,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,101,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330525
442063,2025-10-24 18:59:28,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,102,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330505
441988,2025-10-24 17:24:13,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,104,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330494
441897,2025-10-24 15:56:14,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,105,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330480
441672,2025-10-23 20:19:18,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,106,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084616
441630,2025-10-23 18:49:47,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,107,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330435
441600,2025-10-23 18:25:22,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,109,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330432
441302,2025-10-23 10:38:32,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,110,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330395
440880,2025-10-21 19:26:23,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,111,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084506
440875,2025-10-21 19:18:04,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,112,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084505
440608,2025-10-20 20:03:25,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,113,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084469
440605,2025-10-20 20:03:17,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,114,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330289
439765,2025-10-18 16:36:03,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,115,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084347
439726,2025-10-18 15:44:36,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,116,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330145
439720,2025-10-18 15:44:07,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,118,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330144
439691,2025-10-18 14:52:22,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,119,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330136
439684,2025-10-18 14:46:45,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,120,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330135
439679,2025-10-18 14:27:22,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,121,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330133
439603,2025-10-18 12:13:29,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,123,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330120
439568,2025-10-18 11:43:54,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,124,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000330112
439546,2025-10-18 10:42:24,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,126,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330104
439498,2025-10-17 19:05:08,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,127,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330091
439313,2025-10-17 13:46:10,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,128,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000330053
439128,2025-10-16 18:44:09,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,129,0.45,LOCAL PRINCIPAL,"S/N
",0,1,NotaVenta doc. 001-050-000084273
438627,2025-10-14 19:18:54,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,130,0.45,LOCAL PRINCIPAL,"S/N
",0,1,Factura doc. 001-050-000329947
438568,2025-10-14 17:08:10,7850,FUNDA REGALO SIN CODIGO N.4,00000000002669A,131,0.45,LOCAL PRINCIPAL,"S/N
",0,2,Factura doc. 001-050-000329938
